"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"What did the Chartists campaign for?<br><br>Open ballots<br>Elections every 5 years<br>Anyone to be able to stand as an MP<br>Every man to have a vote"	"Every man to have a vote"	"In the 1830s and 1840s, a group called the Chartists campaigned for reform. They wanted six changes:"	"Life in the UK"	
"What is the official report that contains everything said in Parliament called?<br><br>Hansard<br>The Government report<br>The Government press<br>The Domesday Book"	"Hansard"	"Proceedings in Parliament are broadcast on television and published in official reports called Hansard."	"Life in the UK"	
"What did the “Bill of Rights” confirm?<br><br>Parliament's increased power<br>King's increased power<br>Kings can collect taxes<br>Kings can administer justice"	"Parliament's increased power"	"The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."	"Life in the UK"	
"What is the capital of Wales?<br><br>London<br>Edinburgh<br>Cardiff<br>Belfast"	"Cardiff"	"Cardiff is the capital of Wales."	"Life in the UK"	
"Why was Mary known as “Bloody Mary”?<br><br>She killed her father<br>She fought in numerous battles<br>She persecuted Protestants<br>She put her sister in prison"	"She persecuted Protestants"	"Mary was a devout Catholic and persecuted Protestants."	"Life in the UK"	
"When is St Patrick’s day?<br><br>23rd of April<br>30th of November<br>1st of March<br>17th of March"	"17th of March"	"England, Scotland, Wales and Northern Ireland each have a national saint, called a patron saint. Each saint has a special day:"	"Life in the UK"	
"Who is the heir to the throne?<br><br>Prince Charles<br>Prince Philip<br>Prince Harry<br>Prince William"	"Prince Charles"	"The Queen’s eldest son, Prince Charles (the Prince of Wales), is the heir to the throne."	"Life in the UK"	
"Which of the following is part of the UK?<br><br>Wales<br>St Helena<br>Channel Islands<br>Canada"	"Wales"	"The United Kingdom consists of Wales,England,Scotland and Northern Ireland."	"Life in the UK"	
"Who established the Church of England?<br><br>The Pope<br>Henry VII<br>St George<br>Henry VIII"	"Henry VIII"	"To divorce his first wife, Henry VIII needed the approval of the Pope. When the Pope refused, Henry established the Church of England. In this new Church, the king, not the Pope, would have the power to appoint bishops and order how people should worship."	"Life in the UK"	
"Who built the Tower of London?<br><br>Henry VIII<br>William the Conqueror<br>Oliver Cromwell<br>Henry VII"	"William the Conqueror"	"The Tower of London was built by William the Conqueror after he became king in 1066."	"Life in the UK"	
"When did the UK join the EU?<br><br>1967<br>1961<br>1957<br>1973"	"1973"	"The UK originally decided not to join the EU (European Union) but it became a member in 1973. There are now 28 EU member states."	"Life in the UK"	
"Which tribes invaded Britain after the Romans had left?<br><br>The Jutes and the Anglo-Saxons<br>The Vikings<br>The Normans<br>The Celtics"	"The Jutes and the Anglo-Saxons"	"The Roman army left Britain in AD 410 to defend other parts of the Roman Empire and never returned. Britain was again invaded by tribes from northern Europe: the Jutes, the Angles and the Saxons."	"Life in the UK"	
"What is the National Anthem of the UK?<br><br>Queen reign over the UK<br>God Save the UK<br>God Save the Queen<br>United we stand"	"God Save the Queen"	"The National Anthem of the UK is ‘God Save the Queen’. It is played at important national occasions and at events attended by the Queen or the Royal Family. The first verse is: ‘God save our gracious Queen! Long live our noble Queen! God save the Queen! Send her victorious, Happy and glorious, Long to reign over us, God save the Queen!’."	"Life in the UK"	
"Who is the head of the Church of England?<br><br>The Monarch<br>The Pope<br>The Duke of Edinburgh<br>The Prime Minister"	"The Monarch"	"The monarch is the head of the Church of England. The spiritual leader of the Church of England is the Archbishop of Canterbury."	"Life in the UK"	
"When is Boxing Day?<br><br>The day before Easter<br>The day before Christmas Day<br>The day after Easter<br>The day after Christmas Day"	"The day after Christmas Day"	"Boxing Day (26th of December) is the day after Christmas Day (25th of December) and is a public holiday."	"Life in the UK"	
"What term arose after the evacuation of 300,000 people from the beaches?<br><br>The Blitz spirit<br>D-Day<br>The British spirit<br>The Dunkirk spirit"	"The Dunkirk spirit"	"Many civilian volunteers in small pleasure and fishing boats from Britain helped the Navy to rescue more than 300,000 men from the beaches around Dunkirk. The evacuation gave rise to the phrase ‘the Dunkirk spirit’."	"Life in the UK"	
"What is the judiciary responsible for?<br><br>Looking after a jury<br>Putting people in prison<br>Deciding whether a person is guilty<br>Interpreting the law"	"Interpreting the law"	"Judges, who are together called ‘the judiciary’, are responsible for interpreting the law and ensuring that trials are conducted fairly."	"Life in the UK"	
"What is the ‘Divine Right of Kings?<br><br>Reduced the power of the King<br>Increased power of the  parliament<br>Reduced the power of the nobles<br>The King was Appointed by God"	"The King was Appointed by God"	"‘Divine Right of Kings’ is the idea that the king was directly appointed by God to rule. The king should be able to act without having to seek approval from Parliament."	"Life in the UK"	
"Who wrote “The Lord of the Rings”?<br><br>JRR Tolkien<br>Ian Fleming<br>J K Rowling<br>Charles Dickens"	"JRR Tolkien"	"The Lord of the Rings by JRR Tolkien was voted the country’s best-loved novel in 2003."	"Life in the UK"	
"What is the responsibility that you have as a UK citizen?<br><br>Look after yourself and your family<br>Going to the library<br>Keeping an allotment<br>Going to the cinema"	"Look after yourself and your family"	"Flowing from the fundamental principles are responsibilities and freedoms which are shared by all those living in the UK and which we expect all residents to respect."	"Life in the UK"	
"Where does the Scottish Grand National take place?<br><br>The borders<br>Berkshire<br>Aintree<br>Ayr"	"Ayr"	"Famous horse-racing events include: Royal Ascot, a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr. There is a National Horseracing Museum in Newmarket, Suffolk."	"Life in the UK"	
"How old do you have to be to buy a lottery ticket or a scratch card?<br><br>16<br>15<br>17<br>18"	"16"	"People under 16 are not allowed to participate in the National Lottery. This includes buying Scratch Cards."	"Life in the UK"	
"Who is known as William the Conqueror?<br><br>William, the Duke of Lion<br>William, the Duke of France<br>William, the Duke of Edinburgh<br>William, the Duke of Normandy"	"William, the Duke of Normandy"	"In 1066, an invasion led by William, the Duke of Normandy (in what is now northern France), defeated Harold, the Saxon king of England, at the Battle of Hastings. Harold was killed in the battle. William became king of England and is known as William the Conqueror."	"Life in the UK"	
"Which one of these countries in the UK requires you to complete your own registration form to get entitled to vote?<br><br>England<br>Scotland<br>Wales<br>Northern Ireland"	"Northern Ireland"	"In Northern Ireland a different system operates. This is called ‘individual registration’ and all those entitled to vote must complete their own registration form. Once registered, people stay on the register provided their personal details do not change."	"Life in the UK"	
"The Victoria Cross medal was introduced during which war?<br><br>The Hundred Years War<br>The Crimean War<br>The Second World War<br>The First World War"	"The Crimean War"	"Queen Victoria introduced the Victoria Cross medal during the Crimean war. It honours acts of valour by soldiers."	"Life in the UK"	
"The British constitution is not written down in any single document, and therefore it is described as ‘unwritten’.<br><br>True<br>False"	"True"	"A constitution is a set of principles by which a country is governed. It includes all of the institutions that are responsible for running the country and how their power is kept in check. The constitution also includes laws and conventions. The British constitution is not written down in any single document, and therefore it is described as ‘unwritten’."	"Life in the UK"	
"Where is the UK geographically located with respect to Europe?<br><br>North-East<br>North-West<br>South-East<br>South-West"	"North-West"	"The UK is located in the North-West of Europe."	"Life in the UK"	
"Who invented the World Wide Web?<br><br>Winston Churchill<br>Mo Farah<br>Sir Robert Watson-Watt<br>Sir Tim Berners-Lee"	"Sir Tim Berners-Lee"	"The inventor of the World Wide Web, Sir Tim Berners-Lee (1955–), is British. Information was successfully transferred via the web for the first time on 25 December 1990."	"Life in the UK"	
"Which of these is a Crown Dependency of the UK and not a part of it?<br><br>Wales<br>Chanel Islands<br>Falkland Islands<br>St Helena"	"Chanel Islands"	"There are also several islands which are closely linked with the UK but are not part of it: the Channel Islands and the Isle of Man. These have their own governments and are called ‘Crown dependencies’. There are also several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not a part of it."	"Life in the UK"	
"Who helped found the Women’s Social and Political Union (WSPU) in 1903?<br><br>Jane Seymour<br>Elizabeth of York<br>Mary Peters<br>Emmeline Pankhurst"	"Emmeline Pankhurst"	"Emmeline Pankhurst was born in Manchester in 1858. She set up the Women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU)."	"Life in the UK"	
"Towns, cities and rural areas in the UK are governed by civil servants who are appointed by the Government?<br><br>True<br>False"	"False"	"Towns, cities and rural areas in the UK are governed by democratically elected councils, often called ‘local authorities’. Some areas have both district and county councils, which have different functions. Most large towns and cities have a single local authority."	"Life in the UK"	
"You can contact MPs only at their office in the House of Commons<br><br>False<br>True"	"False"	"You can contact MPs by letter or telephone at their constituency Office, or at their Office in the House of Commons."	"Life in the UK"	
"St Augustine led missionaries from Rome, who spread Christianity in the south. Who did he become?<br><br>The first Archbishop of Canterbury<br>The first Viking invader<br>The first prime minister<br>The first King of England"	"The first Archbishop of Canterbury"	"St Augustine led missionaries from Rome, who spread Christianity in the south. St Augustine became the first Archbishop of Canterbury (see the Archbishop of Canterbury and the Church in Britain today)."	"Life in the UK"	
"The Union Jack is comprised of four countries’ crosses. They are: England, Wales, Scotland and Northern Ireland.<br><br>False<br>True"	"False"	"One symbol of the union between England, Scotland, Wales and Ireland was a new version of the official flag, the Union Flag. This is often called the Union Jack. The flag combined crosses associated with England, Scotland and Ireland. It is still used today as the official flag of the UK."	"Life in the UK"	
"In 1348, a disease, probably a form of plague, came to Britain. What was it called?<br><br>White Death<br>Malaria<br>Black Death<br>Giant Evil"	"Black Death"	"In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death. One third of the population of England died and a similar proportion in Scotland and Wales."	"Life in the UK"	
"Which of the following flowers represents England?<br><br>Thistle<br>Daffodil<br>Shamrock<br>Rose"	"Rose"	"The national flower of England is the Rose."	"Life in the UK"	
"Which Admiral’s Column is in Trafalgar Square, London?<br><br>Francis Drake<br>Charles I<br>Nelson<br>Christopher Wren"	"Nelson"	"Britain’s navy fought against combined French and Spanish fleets, winning the Battle of Trafalgar in 1805. Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle. Nelson’s Column in Trafalgar Square, London, is a monument to him. His ship, HMS Victory, can be visited in Portsmouth."	"Life in the UK"	
"Christmas Day, which celebrates the birth of Jesus Christ, is on which day?<br><br>25 December<br>26 December<br>1 January<br>31 December"	"25 December"	"Christmas Day, 25 December, celebrates the birth of Jesus Christ. It is a public holiday. Many Christians go to church on Christmas Eve (24 December) or on Christmas Day itself."	"Life in the UK"	
"What is the most famous competition which is a series of Test matches played between England and Australia?<br><br>The Ashes<br>The Wimbledon Championship<br>The Open Championship<br>Formula One"	"The Ashes"	"Cricket originated in England and is now played in many countries. Games can last up to five days but still result in a draw! The idiosyncratic nature of the game and its complex laws are said to reflect the best of the British character and sense of fair play. You may come across expressions such as ‘rain stopped play’, ‘batting on a sticky wicket’, ‘playing a straight bat’, ‘bowled a googly’ or ‘it’s just not cricket’, which have passed into everyday usage. The most famous competition is the Ashes, which is a series of Test matches played between England and Australia."	"Life in the UK"	
"In England & Wales, the small claims procedure is an informal way of helping people to settle minor disputes claims of less than?<br><br>£10000<br>£4000<br>£3000<br>£2000"	"£10000"	"The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer. This procedure is used for claims of less than £10,000 in England and Wales; £5,000 in Scotland and £3,000 in Northern Ireland."	"Life in the UK"	
"What did the Queen celebrate in 2012?<br><br>Platinum Jubilee<br>Diamond Jubilee<br>Gold Jubilee<br>Silver Jubilee"	"Diamond Jubilee"	"Queen Elizabeth II celebrated her Diamond Jubilee in 2012. The clock tower ‘Big Ben’ was named ‘Elizabeth Tower’ in honour of this event."	"Life in the UK"	
"Which two things should you do if you wish to be a permanent resident or citizen of the UK?<br><br>Look after the area in which you live and the environment<br>Look after yourself and your family<br>Look after the roads<br>Look after your stairs"	"Look after the area in which you live and the environment<br>Look after yourself and your family"	"If you wish to be a permanent resident or citizen of the UK, you should:
•respect and obey the law
•respect the rights of others, including their right to their own opinions
•treat others with fairness
•look after yourself and your family
•look after the area in which you live and the environment."	"Life in the UK"	
"Which of the following traditional heavy industries were badly affected during the great depression?<br><br>Shipbuilding<br>Aviation<br>Railway<br>Automobile"	"Shipbuilding"	"The effects of the depression of the 1930s were felt differently in different parts of the UK. The traditional heavy industries such as shipbuilding were badly affected but new industries – including the automobile and aviation industries – developed."	"Life in the UK"	
"Which one of the following is the most famous play written by Shakespeare?<br><br>Under Milk Wood<br>The Jungle Book<br>The Canterbury Tales<br>A Midsummer Night’s Dream"	"A Midsummer Night’s Dream"	"Shakespeare was born in Stratford-upon-Avon, England. He was a playwright and actor and wrote many poems and plays. His most famous plays include A Midsummer Night’s Dream, Hamlet, Macbeth and Romeo and Juliet."	"Life in the UK"	
"The Proms is an eight-week summer season of what?<br><br>Orchestral classical music<br>Classic Pop music<br>Underground Hip-Hop music<br>Heavy metal music"	"Orchestral classical music"	"The Proms is an eight-week summer season of orchestral classical music that takes place in various venues, including the Royal Albert Hall in London. It has been organised by the British Broadcasting Corporation (BBC) since 1927. The Last Night of the Proms is the most well-known concert and (along with others in the series) is broadcast on television."	"Life in the UK"	
"After Cromwell defeated Charles II at Worcester, where did Charles II hide?<br><br>In a house<br>In a lake<br>In a field<br>In an oak tree"	"In an oak tree"	"The Scots had not agreed to the execution of Charles I and declared his son Charles II to be king. He was crowned king of Scotland and led a Scottish army into England. Cromwell defeated this army in the Battles of Dunbar and Worcester. Charles II escaped from Worcester, famously hiding in an oak tree on one occasion, and eventually fled to Europe."	"Life in the UK"	
"Which of the following discoveries contributed to the progress of the Industrial Revolution?<br><br>Steam Power<br>Television<br>Penicillin<br>Jet Engine"	"Steam Power"	"During the 18th century, new ideas about politics, philosophy and science were developed. This is often called ‘the Enlightenment’. Many of the great thinkers of the Enlightenment were Scottish. Adam Smith developed ideas about economics which are still referred to today. David Hume’s ideas about human nature continue to influence philosophers. Scientific discoveries, such as James Watt’s work on steam power, helped the progress of the Industrial Revolution."	"Life in the UK"	
"Everyone in England, Wales and Scotland have to fill in individual electoral registration form. (Also known as ‘Individual Registration’)<br><br>False<br>True"	"False"	"This system operates in Northern Ireland. This is called ‘individual registration’ and all those entitled to vote must complete their own registration form"	"Life in the UK"	
